task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	c3/835a3e	1954186	GENERATE:PREPARE_PROMPTS (GFP_cassette)	COMPLETED	0	2026-01-09 22:13:25.137	554ms	6ms	76.2%	0	0	93.5 KB	1.3 KB
1	b7/ccdd1e	1954167	GENERATE:PREPARE_PROMPTS (ATG)	COMPLETED	0	2026-01-09 22:13:25.121	566ms	6ms	76.2%	0	0	65.9 KB	250 B
4	8b/88f6d1	1954647	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:25.741	6s	5.2s	106.7%	942.5 MB	9.9 GB	130.6 MB	18 KB
6	a3/df90d5	1954654	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:25.748	6.1s	5.4s	103.7%	1.2 GB	11.6 GB	130.6 MB	18.3 KB
14	68/8bbb2a	1955812	QC:PRODIGAL (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:31.721	703ms	25ms	118.5%	3.2 MB	4.7 MB	99.6 KB	17.5 KB
8	07/ae4d24	1955836	EVAL:MFE_CIRCULAR (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:31.733	1.7s	1.1s	186.0%	133.9 MB	2.5 GB	30 MB	11.5 KB
11	74/c37fb0	1955918	QC:FIND_REPEATS (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:31.858	1.7s	959ms	296.2%	24.7 MB	697.3 MB	24.8 MB	3.2 KB
13	3a/bffea9	1955910	EVAL:COMPUTE_METRICS (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:31.850	1.7s	1.1s	176.6%	126.8 MB	2.4 GB	29.6 MB	4.1 KB
9	65/72515a	1956821	EVAL:KMER_DIVERGENCE (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:32.439	1.7s	1.1s	196.8%	122.6 MB	2.4 GB	29.4 MB	2.3 KB
22	ad/eccdac	1958035	QC:PRODIGAL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:34.102	613ms	31ms	119.4%	3.4 MB	4.7 MB	92.8 KB	14.2 KB
20	d7/a4704c	1957347	QC:FIND_REPEATS (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:33.455	1.5s	960ms	286.5%	13.9 MB	19 MB	24.8 MB	3 KB
19	7f/75eaf0	1957407	EVAL:MFE_CIRCULAR (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:33.527	1.6s	1.1s	119.9%	133.9 MB	2.5 GB	30 MB	2.2 KB
17	fe/1689ca	1957484	EVAL:COMPUTE_METRICS (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:33.600	1.7s	1s	194.5%	14.7 MB	19.3 MB	29.6 MB	3.4 KB
12	5f/031b04	1958490	QC:AMRFINDER (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:34.986	741ms	192ms	107.0%	7.6 MB	11.6 MB	858.8 KB	3.9 KB
15	18/949149	1958745	QC:BLAST_ORI (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:35.268	647ms	118ms	151.2%	24 MB	114.4 MB	143.2 KB	316 B
18	4f/105597	1959352	QC:AMRFINDER (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:35.919	764ms	168ms	103.6%	7.7 MB	11.6 MB	853.1 KB	3.4 KB
16	82/411ae5	1959211	QC:MOB_TYPER (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 22:13:35.732	6.8s	6.2s	197.4%	217.4 MB	3.2 GB	44.5 MB	1.3 MB
21	81/b15fef	1959910	QC:MOB_TYPER (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 22:13:36.692	6.8s	6.2s	196.1%	256.5 MB	3.3 GB	44.5 MB	1.3 MB
