task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	86/be52a1	2090860	GENERATE:PREPARE_PROMPTS (GFP_cassette)	COMPLETED	0	2026-01-09 23:51:37.867	626ms	7ms	59.3%	0	0	86.9 KB	3.8 KB
1	dc/a3376f	2090877	GENERATE:PREPARE_PROMPTS (ATG)	COMPLETED	0	2026-01-09 23:51:37.885	614ms	7ms	145.5%	0	0	65.9 KB	251 B
4	cc/2b3528	2091363	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:38.591	7s	6.3s	111.4%	1.1 GB	11.5 GB	130.6 MB	13.7 KB
10	da/3210f1	2092670	EVAL:COMPUTE_METRICS (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:45.675	2.1s	1.5s	127.6%	122.1 MB	2.4 GB	29.6 MB	43.9 KB
9	89/6134c7	2092654	EVAL:MFE_CIRCULAR (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:45.659	2.3s	1.6s	116.7%	111.9 MB	2.4 GB	30 MB	2.2 KB
13	32/570b83	2093541	QC:PRODIGAL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:47.828	802ms	37ms	100.0%	3.4 MB	4.7 MB	92.8 KB	14.2 KB
8	47/d2957c	2093589	EVAL:KMER_DIVERGENCE (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:47.927	2.2s	1.6s	128.8%	108.6 MB	2.4 GB	29.4 MB	1.9 KB
14	31/4d9058	2094097	QC:FIND_REPEATS (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:48.639	1.9s	1.2s	182.4%	127.7 MB	3.1 GB	24.8 MB	3 KB
15	74/61b798	2094686	QC:AMRFINDER (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:50.515	906ms	261ms	103.7%	7.6 MB	11.6 MB	853.1 KB	3.4 KB
12	b2/46e882	2095041	QC:MOB_TYPER (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:51:51.430	10s	9.4s	156.2%	344.3 MB	6 GB	43.2 MB	52.4 KB
16	b4/a31c84	2096454	QC:BLAST_ORI (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:52:01.488	927ms	267ms	236.8%	24.5 MB	114.4 MB	139.5 KB	293 B
5	1a/480a8e	2091345	GENERATE:SAMPLE_MODEL (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-09 23:51:38.581	30.5s	29.7s	102.6%	1.2 GB	16.1 GB	130.6 MB	834.8 KB
