task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	86/be52a1	1991524	GENERATE:PREPARE_PROMPTS (GFP_cassette)	COMPLETED	0	2026-01-09 23:12:11.115	590ms	6ms	133.3%	0	0	86.9 KB	3.8 KB
1	dc/a3376f	1991540	GENERATE:PREPARE_PROMPTS (ATG)	COMPLETED	0	2026-01-09 23:12:11.130	579ms	6ms	69.6%	0	0	65.9 KB	250 B
6	68/27478b	1992008	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:11.758	30s	29.4s	101.7%	1.2 GB	16.1 GB	130.6 MB	844.6 KB
5	1a/480a8e	1992015	GENERATE:SAMPLE_MODEL (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-09 23:12:11.764	30.2s	29.7s	101.5%	1.2 GB	16.1 GB	130.6 MB	833.1 KB
7	8d/938457	1992032	GENERATE:SAMPLE_MODEL (McClain_PlasmidGPT_RL_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:11.771	30.4s	29.8s	101.3%	1.2 GB	16.1 GB	130.6 MB	934 KB
9	55/f2bc65	1993883	QC:PRODIGAL (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:41.758	1.2s	506ms	98.2%	7.1 MB	112.3 MB	2.1 MB	1.6 MB
10	90/a91fbf	1994198	EVAL:COMPUTE_METRICS (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:42.008	2.2s	1.5s	143.2%	126.5 MB	2.4 GB	30 MB	4.6 KB
12	3c/f23f95	1995289	EVAL:KMER_DIVERGENCE (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:42.987	1.7s	1.1s	164.7%	123.5 MB	2.4 GB	29.8 MB	2.3 KB
17	d4/7180b6	1995831	EVAL:COMPUTE_METRICS (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-09 23:12:44.175	2s	1.5s	149.6%	126.3 MB	2.4 GB	30 MB	4.2 KB
4	cc/2b3528	1993858	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-09 23:12:41.743	6.6s	5.9s	117.2%	1.2 GB	11.6 GB	130.6 MB	13.7 KB
15	f1/7b6306	1994323	QC:AMRFINDER (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:42.161	8.8s	8.1s	353.9%	280 MB	637.7 MB	44.7 MB	43 MB
16	02/75b898	1998937	QC:BLAST_ORI (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:50.989	919ms	349ms	195.4%	24.8 MB	114.4 MB	563.5 KB	133.1 KB
13	44/89e07d	1994226	QC:FIND_REPEATS (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:42.018	10s	9.3s	115.3%	138.6 MB	3.1 GB	25.2 MB	61.6 KB
21	5a/616251	1999506	QC:PRODIGAL (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-09 23:12:51.980	1.5s	905ms	98.1%	6.8 MB	112.3 MB	2.1 MB	1.4 MB
26	cf/c62647	2000268	QC:PRODIGAL (McClain_PlasmidGPT_RL_GFP_cassette)	COMPLETED	0	2026-01-09 23:12:53.475	1.6s	1.1s	101.8%	6.8 MB	112.3 MB	2.3 MB	1.6 MB
19	08/dc7ea0	1996918	QC:FIND_REPEATS (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-09 23:12:46.218	9.4s	8.8s	116.9%	132.2 MB	3.1 GB	25.2 MB	4.3 KB
