task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	dc/a3376f	2171948	GENERATE:PREPARE_PROMPTS (ATG)	COMPLETED	0	2026-01-10 00:21:47.610	592ms	6ms	139.1%	0	0	65.9 KB	251 B
3	86/be52a1	2171929	GENERATE:PREPARE_PROMPTS (GFP_cassette)	COMPLETED	0	2026-01-10 00:21:47.592	711ms	7ms	184.6%	0	0	86.9 KB	3.8 KB
4	cc/2b3528	2172428	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:48.270	7s	6.3s	103.4%	1.1 GB	11.5 GB	130.6 MB	13.7 KB
12	a8/96f4a5	2173620	QC:PRODIGAL (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:55.287	799ms	39ms	75.3%	3.4 MB	4.7 MB	92.9 KB	14.3 KB
8	e2/08fc3a	2173649	EVAL:MFE_CIRCULAR (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:55.311	1.9s	1.2s	146.9%	133.7 MB	2.5 GB	30 MB	2.2 KB
15	3a/96b1d4	2174280	QC:FIND_REPEATS (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:56.094	1.9s	1.3s	201.8%	127.4 MB	3.1 GB	24.8 MB	3 KB
9	7f/5a8924	2174684	EVAL:COMPUTE_METRICS (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:57.188	2s	1.3s	143.6%	124.1 MB	2.4 GB	29.6 MB	3.5 KB
11	0a/e2ca8c	2175110	EVAL:KMER_DIVERGENCE (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:58.010	1.8s	1.2s	153.4%	123 MB	2.4 GB	29.4 MB	1.9 KB
14	86/787567	2175608	QC:AMRFINDER (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:21:59.794	941ms	277ms	93.7%	7.8 MB	11.6 MB	853.1 KB	3.4 KB
13	72/a53f56	2175961	QC:MOB_TYPER (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:22:00.745	11.4s	10.8s	154.2%	361.6 MB	3.8 GB	44.5 MB	1.3 MB
16	5d/87a667	2177426	QC:BLAST_ORI (UCL_CSSB_PlasmidGPT_ATG)	COMPLETED	0	2026-01-10 00:22:12.164	1.5s	789ms	240.1%	26.7 MB	114.4 MB	13.7 MB	3.8 KB
6	68/27478b	2172484	GENERATE:SAMPLE_MODEL (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:21:48.323	28.3s	27.7s	102.0%	1.2 GB	16.1 GB	130.6 MB	822.9 KB
5	1a/480a8e	2172442	GENERATE:SAMPLE_MODEL (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-10 00:21:48.278	29.2s	28.5s	100.8%	1.2 GB	16.1 GB	130.6 MB	823.6 KB
18	e4/ff78a4	2178545	EVAL:COMPUTE_METRICS (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:22:17.493	2.3s	1.6s	116.9%	126.8 MB	2.4 GB	29.9 MB	4.6 KB
23	46/2728d0	2177933	QC:BLAST_ORI (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:22:16.666	3.4s	2.7s	260.4%	117.3 MB	855.7 MB	14.6 MB	464.1 KB
7	8d/938457	2173597	GENERATE:SAMPLE_MODEL (McClain_PlasmidGPT_RL_GFP_cassette)	COMPLETED	0	2026-01-10 00:21:55.258	29.1s	28.4s	104.4%	1.2 GB	16.1 GB	130.6 MB	934 KB
19	9e/90f19f	2180899	QC:PRODIGAL (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:22:24.409	1.6s	697ms	88.2%	3.4 MB	4.7 MB	2.1 MB	1.5 MB
20	a7/f29e8f	2179496	QC:AMRFINDER (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:22:20.056	11.8s	11.1s	327.5%	300.4 MB	759.8 MB	45.3 MB	43.6 MB
22	5f/4470da	2177924	QC:MOB_TYPER (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:22:16.657	17.7s	17s	175.9%	601.3 MB	6.2 GB	51 MB	2.5 MB
21	32/b013b3	2179346	QC:FIND_REPEATS (UCL_CSSB_PlasmidGPT_GFP_cassette)	COMPLETED	0	2026-01-10 00:22:19.808	15.6s	15s	105.4%	138.3 MB	3.1 GB	25.2 MB	35.8 KB
26	4e/a36755	2184490	QC:PRODIGAL (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-10 00:22:34.342	1.9s	1.2s	99.9%	16.1 MB	120.1 MB	2.1 MB	1.4 MB
24	74/80c2d1	2184484	EVAL:COMPUTE_METRICS (McClain_PlasmidGPT_RL_ATG)	COMPLETED	0	2026-01-10 00:22:34.335	2.7s	2s	118.5%	107.3 MB	2.4 GB	30 MB	4.2 KB
